name,series
9,9
Jack Bauer,24
Leonidas (300),300
Big Brother,1984
Julia (1984),1984
O'Brien,1984
Winston Smith,1984
Hubble,17776
Juice (17776),17776
Nine (17776),17776
Ten (17776),17776
Zeta Project,9111977
Aogu Kanou,-Cell of Empireo-
Eiji Shinano,-Cell of Empireo-
Hajime Hatsutori,-Cell of Empireo-
Haruki Atou,-Cell of Empireo-
Haruki Isoi,-Cell of Empireo-
Jabuchi You,-Cell of Empireo-
Noa Enomoto,-Cell of Empireo-
Noriyuki Utsugi,-Cell of Empireo-
Rai Isoi,-Cell of Empireo-
Reiji Isoi,-Cell of Empireo-
Rumeld Othmayer,-Cell of Empireo-
Sanemitsu Isoi,-Cell of Empireo-
Theodore Riddle,-Cell of Empireo-
Ashura,-RG VEDA-
Yasha-ou,-RG VEDA-
Hara Miyo,"¡Golpea duro, Hara!"
El Neng de Castefa,"¡Qué pasa, Neng!"
Cleaner,.flow
Oreko,.flow
Sabitsuki,.flow
Smile (flow),.flow
Midori (.h),.hack//CELL
Aina (.h),.hack//G.U.
Alkaid,.hack//G.U.
Antares,.hack//G.U.
Atoli,.hack//G.U.
Azure Kite,.hack//G.U.
Bo,.hack//G.U.
Endrance,.hack//G.U.
Haseo,.hack//G.U.
Innis,.hack//G.U.
Kuhn,.hack//G.U.
Ovan,.hack//G.U.
Pi,.hack//G.U.
Saku,.hack//G.U.
Shino,.hack//G.U.
Silabus,.hack//G.U.
Skeith,.hack//G.U.
Yata (.h),.hack//G.U.
Zelkova,.hack//G.U.
Aura,.hack//IMOQ
Balmung (.h),.hack//IMOQ
BlackRose,.hack//IMOQ
Elk,.hack//IMOQ
Kite (.h),.hack//IMOQ
Mia (.h),.hack//IMOQ
Mistral (.h),.hack//IMOQ
Natsume (.h),.hack//IMOQ
Piros,.hack//IMOQ
Ouka,.hack//Legend of the Twilight
AIKA (.h),.hack//Link
Tokio Kuryuu,.hack//Link
Hermit (.h),.hack//Quantum
Tabby,.hack//Roots
Tohta,.hack//Roots
Bear (.h),.hack//SIGN
BT (.h),.hack//SIGN
Crim (.h),.hack//SIGN
Macha,.hack//SIGN
Mimiru,.hack//SIGN
Sora (.h),.hack//SIGN
Subaru (.h),.hack//SIGN
Tsukasa,.hack//SIGN
Kakyoin Chieri,.LIVE
Kongo Iroha,.LIVE
Merry Milk,.LIVE
Siro,.LIVE
Yaezawa Natori,.LIVE
Yamato Iori,.LIVE
Natsumi Aibara,"“Hello, World.”"
Minnie (GIDLE),(G)I-DLE
Miyeon,(G)I-DLE
Shuhua,(G)I-DLE
Soyeon,(G)I-DLE
Yuqi,(G)I-DLE
AIJ,(K)NoW_NAME
Ayaka Tachibana,(K)NoW_NAME
NIKIIE,(K)NoW_NAME
Hanabi Ikuta,[C] CONTROL
Jennifer Satou,[C] CONTROL
Kimimaro Yoga,[C] CONTROL
Masakaki,[C] CONTROL
Msyu,[C] CONTROL
Q (C),[C] CONTROL
Souichirou Mikuni,[C] CONTROL
Takako Mikuni,[C] CONTROL
Alex Mercer,[PROTOTYPE]
Bradley Ragland,[PROTOTYPE]
Dana Mercer,[PROTOTYPE]
Robert Cross,[PROTOTYPE]
James Heller,[PROTOTYPE2]
Daniel Del Toro,[Un]Divine
Esther,[Un]Divine
Air on the G String,{ tákt op. }
Anna Schneider,{ tákt op. }
"Belkis, regina di Saba",{ tákt op. }
Boléro,{ tákt op. }
Carmen (to),{ tákt op. }
Charlotte Schneider,{ tákt op. }
Daphnis et Chloé,{ tákt op. }
Destiny,{ tákt op. }
Die Fledermaus,{ tákt op. }
Heaven,{ tákt op. }
Hell,{ tákt op. }
Joy (to),{ tákt op. }
Jupiter (to),{ tákt op. }
Leonard Flyheart,{ tákt op. }
Piano Sonata No. 14 in c-sharp minor Op.27-2 'Moonlight',{ tákt op. }
Takt Asahina,{ tákt op. }
The Nutcracker (to),{ tákt op. }
Titan,{ tákt op. }
Twinkle Twinkle Little Star,{ tákt op. }
Walkure,{ tákt op. }
Abiko Samejima,【Oshi no Ko】
Ai Hoshino,【Oshi no Ko】
Akane Kurokawa,【Oshi no Ko】
Aqua Hoshino,【Oshi no Ko】
Frill Shiranui,【Oshi no Ko】
Kana Arima,【Oshi no Ko】
Melt Narushima,【Oshi no Ko】
Memcho,【Oshi no Ko】
Minami Kotobuki,【Oshi no Ko】
Miyaemon,【Oshi no Ko】
Ruby Hoshino,【Oshi no Ko】
Yoriko Kichijouji,【Oshi no Ko】
Juri Koorihama,&' - Sora no Mukou de Sakimasu You ni -
13,#COMPASS
Adam Yuriev,#COMPASS
Fukagawa Matoi,#COMPASS
Gustav Heydrich,#COMPASS
Jeanne d'Arc (#CP),#COMPASS
Kiryuin Kirara,#COMPASS
Luciano,#COMPASS
